date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:07	580/580	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Jul%202025%2007:46:07%20GMT	https://www.samsca.com/robots.txt		(from )
13:16:07	66373/66373	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202025%2007:46:07%20GMT	https://www.samsca.com/	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/index.html	(from )
13:16:08	25884/25884	---M-Z	200	added ('OK')	application/javascript	etag:0x8DDC8C5E0A4A334	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.samsca.com/)
13:16:08	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2007%20May%202025%2006:21:20%20GMT	https://www.samsca.com/sites/g/files/qhldwo10166/themes/site/themes/custom/samsca_hcp2/favicon.ico	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/sites/g/files/qhldwo10166/themes/site/themes/custom/samsca_hcp2/favicon.ico	(from https://www.samsca.com/)
13:16:09	1532/1532	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/core.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/corebfda.css	(from https://www.samsca.com/)
13:16:10	1470/1470	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:29%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/controlgroup.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/controlgroupbfda.css	(from https://www.samsca.com/)
13:16:10	792/792	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:29%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/checkboxradio.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/checkboxradiobfda.css	(from https://www.samsca.com/)
13:16:11	1175/1175	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/resizable.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/resizablebfda.css	(from https://www.samsca.com/)
13:16:12	1407/1407	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:29%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/button.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/buttonbfda.css	(from https://www.samsca.com/)
13:16:12	1756/1756	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.samsca.com/core/assets/vendor/jquery.ui/themes/base/dialog.css?szh8fp	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/Test/www.samsca.com/core/assets/vendor/jquery.ui/themes/base/dialogbfda.css	(from https://www.samsca.com/)
